Date,High/Low (Normalised)
06/06/2012,0.022318098950412427
07/06/2012,0.03372737856713766
08/06/2012,0.012610023672893392
11/06/2012,0.0737102789870152
12/06/2012,0.03913199101548761
13/06/2012,0.022117973262172175
14/06/2012,0.023268915063210584
15/06/2012,0.017664489198043032
18/06/2012,0.05534519374442167
19/06/2012,0.03632961691055726
20/06/2012,0.012960472794244149
21/06/2012,0.06109994304269972
22/06/2012,0.008807041273306773
25/06/2012,0.03422783885017683
26/06/2012,0.0161129837491026
27/06/2012,0.020366644323143075
28/06/2012,0.025620923265110312
29/06/2012,0.020166518634902823
02/07/2012,0.013010587320794837
03/07/2012,0.032576426692828175
05/07/2012,0.038131050302865975
06/07/2012,0.03402771316193715
09/07/2012,0.01726393562341323
10/07/2012,0.04898975511000191
11/07/2012,0.045086553730584414
12/07/2012,0.02972426040603971
13/07/2012,0.033527252878897976
16/07/2012,0.017564280291483794
17/07/2012,0.04188424052059563
18/07/2012,0.018314970716042267
19/07/2012,0.04293498348834645
20/07/2012,0.054344263105072246
23/07/2012,0.0810663460626345
24/07/2012,0.04848959702511318
25/07/2012,0.020566770011382757
26/07/2012,0.01471211400469533
27/07/2012,0.06805544647041759
30/07/2012,0.046037379916654214
31/07/2012,0.02191783750066085
01/08/2012,0.021167449274252813
02/08/2012,0.053643677133793394
03/08/2012,0.01841518969587315
06/08/2012,0.03132556811010932
07/08/2012,0.019465932663623967
08/08/2012,0.01736415460324411
09/08/2012,0.0047538085856569925
10/08/2012,0.011058830495375045
13/08/2012,0.04788891776224312
14/08/2012,0.049790570134383295
15/08/2012,0.031275463656829705
16/08/2012,0.01831466851789183
17/08/2012,0.008256456390444691
20/08/2012,0.01155929077841422
21/08/2012,0.05969876102687094
22/08/2012,0.050040810349174236
23/08/2012,0.02792282701373042
24/08/2012,0.012360105802795602
27/08/2012,0.0443361655041758
28/08/2012,0.04493653249562378
29/08/2012,0.04473641688065574
30/08/2012,0.016563349652134372
31/08/2012,0.02321882068320261
04/09/2012,0.038031143594457174
05/09/2012,0.01731404007669285
06/09/2012,0.056345822185621224
07/09/2012,0.053443843570431936
10/09/2012,0.05264273642117176
11/09/2012,0.02877343421996991
12/09/2012,0.05069128179390241
13/09/2012,0.07285968185404736
14/09/2012,0.01045845343065543
17/09/2012,0.01991628849338352
18/09/2012,0.039932493768447486
19/09/2012,0.04128356125772557
20/09/2012,0.03132556811010932
21/09/2012,0.004503578444137691
24/09/2012,0.07951484061369465
25/09/2012,0.06670436890786785
26/09/2012,0.0817666298357635
27/09/2012,0.03647963814551732
28/09/2012,0.021267053784511745
01/10/2012,0.024469981464072473
02/10/2012,0.059148196290552145
03/10/2012,0.039131678744066103
04/10/2012,0.03297699034072962
05/10/2012,0.02737225220414056
08/10/2012,0.02767259687221112
09/10/2012,0.07451079181324671
10/10/2012,0.026721760612869103
11/10/2012,0.02156739845258231
12/10/2012,0.03437786008513746
15/10/2012,0.046187703349764714
16/10/2012,0.033177116028969306
17/10/2012,0.06094961960958922
18/10/2012,0.3979252767326676
19/10/2012,0.1541258413335006
22/10/2012,0.05519517250946104
23/10/2012,0.05719673159001115
24/10/2012,0.039182095468767233
25/10/2012,0.022968580468411666
26/10/2012,0.03968256582507805
31/10/2012,0.010508567957207263
01/11/2012,0.04143388469083608
02/11/2012,0.021417377217621675
05/11/2012,0.037030202881836116
06/11/2012,0.02527047414376013
07/11/2012,0.039231897723896986
08/11/2012,0.0818668488155938
09/11/2012,0.07075760159551762
12/11/2012,0.025170567435350757
13/11/2012,0.027372252204139982
14/11/2012,0.03893185525397572
15/11/2012,0.06104952631799859
16/11/2012,0.06565363601338868
19/11/2012,0.047488666385763184
20/11/2012,0.04768879207400344
21/11/2012,0.027522263365828404
23/11/2012,0.0
26/11/2012,0.020416446578272827
27/11/2012,0.0655534170335578
28/11/2012,0.08567014348660308
29/11/2012,0.04003270267500672
30/11/2012,0.048189262430313684
03/12/2012,0.039432325610286534
04/12/2012,0.02957424924435072
05/12/2012,0.041383780237556456
06/12/2012,0.036029584513908204
07/12/2012,0.052843174380833524
10/12/2012,0.019816069513552064
11/12/2012,0.051542201271563406
12/12/2012,0.03067508659210951
13/12/2012,0.06515316565707786
14/12/2012,0.027472158912549356
17/12/2012,0.07005700555096712
18/12/2012,0.05079150077373329
19/12/2012,0.01210956338985479
20/12/2012,0.01891535785403353
21/12/2012,0.022018066553763375
24/12/2012,0.01906536901572252
26/12/2012,0.03287677136089874
27/12/2012,0.031675704960037424
28/12/2012,0.01501213632807274
31/12/2012,0.05339343691900188
02/01/2013,0.03277655238106843
03/01/2013,0.03657984705207656
04/01/2013,0.04949022546631273
07/01/2013,0.024519783719201653
08/01/2013,0.03988269151331773
09/01/2013,0.029273904576280155
10/01/2013,0.03803084139630731
11/01/2013,0.011158737203784417
14/01/2013,0.0798148730103437
15/01/2013,0.09507756182462947
16/01/2013,0.03387739980209886
17/01/2013,0.023619374257832983
18/01/2013,0.037730798926386616
22/01/2013,0.02962404142620883
23/01/2013,0.04658795472624465
24/01/2013,0.06215068601045111
25/01/2013,0.02166760735914155
28/01/2013,0.01906537908899359
29/01/2013,0.032576426692828175
30/01/2013,0.020716781173071748
31/01/2013,0.01736415460324411
01/02/2013,0.07305949527086553
04/02/2013,0.04153379139924545
05/02/2013,0.03873143744085781
06/02/2013,0.05284316430756188
07/02/2013,0.0470884250825549
08/02/2013,0.016063191567245064
11/02/2013,0.026771875139420368
12/02/2013,0.023169008354801787
13/02/2013,0.007406161455627285
14/02/2013,0.035378800797759104
