Date,Price (Normalised)
2012-06-06,0.07146916686315152
2012-06-07,-0.0757606524340213
2012-06-08,0.15144323030365947
2012-06-11,-0.2503374930251825
2012-06-12,0.03982910184590316
2012-06-13,-0.02472314831813338
2012-06-14,0.01741051656035042
2012-06-15,0.06256532762574585
2012-06-18,0.24843042579686014
2012-06-19,0.07655720219492479
2012-06-20,-0.02647239696870496
2012-06-21,-0.11073961542907174
2012-06-22,0.061452139039948284
2012-06-25,-0.09102375675994812
2012-06-26,0.023930160048405202
2012-06-27,0.004849359774659945
2012-06-28,-0.028857594387446617
2012-06-29,0.10819737850877043
2012-07-02,0.13665658671916558
2012-07-03,0.08482420229136367
2012-07-05,0.16193671886829586
2012-07-06,-0.0064388978052930534
2012-07-09,0.14937645245540043
2012-07-10,-0.1423787900735236
2012-07-11,-0.014070060430159348
2012-07-12,-0.008505675653552203
2012-07-13,0.04491702588107738
2012-07-16,0.041259819629391625
2012-07-17,-0.04841374243663199
2012-07-18,0.007552976763885777
2012-07-19,0.061134498545658555
2012-07-20,-0.12600260845839806
2012-07-23,0.1627323782564074
2012-07-24,-0.08991134725034333
2012-07-25,0.020908902564889642
2012-07-26,-0.06479003534835803
2012-07-27,0.17417945608350216
2012-07-30,0.07814674022555645
2012-07-31,0.1325230310226473
2012-08-01,-0.13188619188168227
2012-08-02,0.09150177565376838
2012-08-03,0.045711906192992924
2012-08-06,0.09643099073839823
2012-08-07,-0.016772787046590132
2012-08-08,0.020272953796717896
2012-08-09,0.058590592176372525
2012-08-10,0.06033883915754856
2012-08-13,0.11789520768529682
2012-08-14,0.009938174182627435
2012-08-15,0.0053264882956867154
2012-08-16,0.09436421289013763
2012-08-17,0.14174451075433958
2012-08-20,0.25351834983203414
2012-08-21,-0.22187739444199395
2012-08-22,0.24254762144977193
2012-08-23,-0.04253015901334778
2012-08-24,0.07178669606083932
2012-08-27,-0.055727264567208445
2012-08-28,0.009938174182627435
2012-08-29,-0.015501668586441086
2012-08-30,-0.09484045103837258
2012-08-31,-0.019157984465333455
2012-09-04,0.1592339922518633
2012-09-05,-0.07210344618233555
2012-09-06,0.062088087808118475
2012-09-07,0.050798939855372094
2012-09-10,-0.26878145415796106
2012-09-11,-0.05906605124841158
2012-09-12,0.05954496051502689
2012-09-13,0.10199615459119826
2012-09-14,0.03378758854826924
2012-09-17,0.019636893731947103
2012-09-18,0.04507584612822213
2012-09-19,0.04205547901750317
2012-09-20,0.005486198915624962
2012-09-21,-0.0240870882533627
2012-09-24,0.0752851933619807
2012-09-25,-0.2212414456738222
2012-09-26,-0.043802946922484765
2012-09-27,0.28356809774245484
2012-09-28,-0.1724294283567377
2012-10-01,-0.17433738595785353
2012-10-02,0.0048493597746583905
2012-10-03,0.1175767881148142
2012-10-04,-0.057953641738806794
2012-10-05,-0.18769331175885906
2012-10-08,-0.12568496796410833
2012-10-09,-0.031719141251022265
2012-10-10,0.031402391129527585
2012-10-11,-0.27975129216743144
2012-10-12,0.015184918464946406
2012-10-15,0.05111735942585627
2012-10-16,0.24207049292874183
2012-10-17,-0.05493249555189339
2012-10-18,-0.09770210919854727
2012-10-19,-0.32442886341520105
2012-10-22,0.35638823837572553
2012-10-23,-0.2676681542755628
2012-10-24,-0.06049765940469498
2012-10-25,-0.15350911777912668
2012-10-26,-0.07353516563521634
2012-10-31,0.01979560268249303
2012-11-01,-0.013911240183014484
2012-11-02,-0.2907219092530946
2012-11-05,0.030289091247129418
2012-11-06,-0.10453928188429296
2012-11-07,-0.239048345072436
2012-11-08,-0.35098100439727375
2012-11-09,0.11837233620632381
2012-11-12,-0.16718268407442027
2012-11-13,0.07623878262444062
2012-11-14,-0.12425425018062153
2012-11-15,-0.17656376312945188
2012-11-16,0.05223054801165539
2012-11-19,0.41060570892567005
2012-11-20,-0.1620955391154406
2012-11-21,-0.027743515428854004
2012-11-23,0.08164512623009879
2012-11-26,0.2295102265158464
2012-11-27,-0.06304078669778646
2012-11-28,0.10295052292985418
2012-11-29,-0.0008745130286860192
2012-11-30,-0.011208513566582035
2012-12-03,-0.10581040034444045
2012-12-04,-0.08180305610445027
2012-12-05,-0.46609363015617145
2012-12-06,0.3037601945598105
2012-12-07,-0.30757533068584764
2012-12-10,0.08943499780550934
2012-12-11,0.03855709301296084
2012-12-12,-0.1266385572265698
2012-12-13,-0.010413744551265425
2012-12-14,-0.06606193288470152
2012-12-17,0.17020460933752823
2012-12-18,0.15430566754003006
2012-12-19,-0.06924201061535884
2012-12-20,-0.11868908632782005
2012-12-21,0.1218707222108677
2012-12-24,0.009937395106431435
2012-12-26,-0.08259782511976532
2012-12-27,0.03696755498232762
2012-12-28,0.001669393340601566
2012-12-31,0.35686536689675075
2013-01-02,-0.06335920626826907
2013-01-03,-0.07909943911522288
2013-01-04,-0.14571846712752012
2013-01-07,0.04300906827996154
2013-01-08,-0.04920762107915355
2013-01-09,-0.07305792581758885
2013-01-10,-0.06733394171764562
2013-01-11,0.001670172416796012
2013-01-14,-0.001986922538290692
2013-01-15,-0.1840361055071733
2013-01-16,0.1948489040150856
2013-01-17,-0.10851312696087279
2013-01-18,0.036331606214155876
2013-01-22,0.016138507727406326
2013-01-23,0.0954774014759383
2013-01-24,-0.1382461247497988
2013-01-25,-0.1749737799124228
2013-01-28,0.20359403430194623
2013-01-29,0.009142514794517442
2013-01-30,0.010096994429772188
2013-01-31,-0.010890873072295415
2013-02-01,-0.07448875489767615
2013-02-04,-0.17147539390788114
2013-02-05,0.232054132885134
2013-02-06,0.026791595615381913
2013-02-07,0.091820195224251
