Date,Price (Normalised)
06/06/2012,0.11254335511074975
07/06/2012,-0.0029308035870794225
08/06/2012,0.11691873325207602
11/06/2012,-0.05732177798031646
12/06/2012,0.037390610797303436
13/06/2012,0.07205014190672276
14/06/2012,0.05815236344782848
15/06/2012,0.11322953147795367
18/06/2012,0.14805980795627383
19/06/2012,0.1455722480870283
20/06/2012,0.05772284912903203
21/06/2012,-0.04805659234105386
22/06/2012,0.10730994997352283
25/06/2012,0.02057625897121218
26/06/2012,0.09392656633187291
27/06/2012,0.09118127369379136
28/06/2012,0.06381424672279223
29/06/2012,0.12129361057255528
02/07/2012,0.06587282763345614
03/07/2012,0.14454297490137957
05/07/2012,0.13888055626620233
06/07/2012,0.021948646244987824
09/07/2012,0.08654869814384392
10/07/2012,0.004618880690278715
11/07/2012,0.033616010434204924
12/07/2012,0.10628065951819177
13/07/2012,0.11494501557017389
16/07/2012,0.06501481790723962
17/07/2012,0.06287033758675231
18/07/2012,0.10988396188249072
19/07/2012,0.13682199262522277
20/07/2012,0.09512767287653379
23/07/2012,0.20639823498299936
24/07/2012,0.013712250240212054
25/07/2012,0.07462361845547516
26/07/2012,0.06338525049452515
27/07/2012,0.21531977117391832
30/07/2012,0.04528337462342091
31/07/2012,0.11786210702790134
01/08/2012,0.037819607025569635
02/08/2012,0.10525085097232956
03/08/2012,0.08886499455365926
06/08/2012,0.10499365356370727
07/08/2012,0.0667308200899892
08/08/2012,0.10473593806455583
09/08/2012,0.058924473764223606
10/08/2012,0.10670913765592749
13/08/2012,0.18546464897345993
14/08/2012,0.1581835214122842
15/08/2012,0.05394826603561764
16/08/2012,0.12343860898357195
17/08/2012,0.10336356806046454
20/08/2012,0.07779842541235316
21/08/2012,0.04656986248737516
22/08/2012,0.1615296436376461
23/08/2012,0.09915997146909983
24/08/2012,0.10344946747028705
27/08/2012,0.13090239385110758
28/08/2012,0.18254807560626296
29/08/2012,0.16873569573634595
30/08/2012,0.05549246939872332
31/08/2012,0.08680587828278075
04/09/2012,0.04734249089429943
05/09/2012,0.08363158941643234
06/09/2012,0.19275715311188124
07/09/2012,0.13021568212368995
10/09/2012,0.0003294019587747332
11/09/2012,0.027953626338396154
12/09/2012,0.09006608382863601
13/09/2012,0.18855303842998605
14/09/2012,0.07814100414026837
17/09/2012,0.09349757010360671
18/09/2012,0.16753512455189967
19/09/2012,0.1632451104601822
20/09/2012,0.10876823665712165
21/09/2012,0.09272547705689504
24/09/2012,0.23513764922777303
25/09/2012,0.04408228534844416
26/09/2012,0.10842513983867819
27/09/2012,0.04785740380207226
28/09/2012,0.08045730055008371
01/10/2012,0.10087543829163481
02/10/2012,0.007021076509916346
03/10/2012,0.13562035072034706
04/10/2012,0.12292371334548347
05/10/2012,0.05120297339753521
08/10/2012,0.05034496367131891
09/10/2012,-0.056206570845477755
10/10/2012,0.10061825815269776
11/10/2012,0.06527253340639128
12/10/2012,0.01654396037864636
15/10/2012,0.0692189325891337
16/10/2012,0.11666101775292348
17/10/2012,0.17645719610303323
18/10/2012,-0.44192060096843633
19/10/2012,-0.1266403048389414
22/10/2012,0.05737975231058745
23/10/2012,0.1490037343619981
24/10/2012,-0.004046010721919124
25/10/2012,0.05823776203680597
26/10/2012,0.0658728103637718
31/10/2012,0.08122939359679449
01/11/2012,0.14685925404151168
02/11/2012,0.018517159970017127
05/11/2012,0.06424272486052884
06/11/2012,0.045197475213598626
07/11/2012,0.009852285827505636
08/11/2012,-0.076195729628448
09/11/2012,0.1493473665406564
12/11/2012,0.09589976592324367
13/11/2012,0.04356737244067155
14/11/2012,0.007878550875919155
15/11/2012,0.05394826603561875
16/11/2012,0.08766388800899816
19/11/2012,0.18477845533657167
20/11/2012,0.08140120968612363
21/11/2012,0.0506880604897626
23/11/2012,0.06029684376831468
26/11/2012,0.03207128898056988
27/11/2012,0.16787768601012854
28/11/2012,0.21180292084933994
29/11/2012,0.11271461857018106
30/11/2012,0.13802254653998602
03/12/2012,0.01748683333362644
04/12/2012,0.043396091711555895
05/12/2012,0.040307702255029776
06/12/2012,0.10782484561161221
07/12/2012,-0.015113080684069358
10/12/2012,0.07771200791200128
11/12/2012,0.1364788958067782
12/12/2012,0.06312805308590397
13/12/2012,-0.03596024919325591
14/12/2012,0.10139035119940853
17/12/2012,0.20854271530348467
18/12/2012,0.11580354338692178
19/12/2012,0.0723073220456607
20/12/2012,0.06973331013669282
21/12/2012,0.0916961866015642
24/12/2012,0.034474020160421226
26/12/2012,0.08431830114384997
27/12/2012,0.07016284172517362
28/12/2012,0.0630416355855512
31/12/2012,0.14076783917806734
02/01/2013,0.1103124227505432
03/01/2013,0.06664543877069606
04/01/2013,0.15149182959145824
07/01/2013,0.07144931231944329
08/01/2013,0.05823776203680597
09/01/2013,0.1276421883052523
10/01/2013,0.06587282763345614
11/01/2013,0.06021094435849239
14/01/2013,-0.04050692533338007
15/01/2013,0.12549718989423675
16/01/2013,0.015599533152077072
17/01/2013,0.02263483988187609
18/01/2013,0.02726741543182354
22/01/2013,0.062098244540042646
23/01/2013,0.12472563220773969
24/01/2013,0.18872537260984545
25/01/2013,0.10233426033544823
28/01/2013,0.06861863836206794
29/01/2013,0.13690735667483156
30/01/2013,0.07822690355009088
31/01/2013,0.1218938875299369
01/02/2013,0.22673049058441208
04/02/2013,0.0030746773271730365
05/02/2013,0.11700464993158266
06/02/2013,0.17268261300961885
07/02/2013,0.11391572511484194
08/02/2013,0.12240880043771063
11/02/2013,0.11194252552347028
12/02/2013,0.0684468222727388
13/02/2013,0.10087545556132005
