Date,Headline
2013-07-12,Fugitive Snowden to seek temporary asylum in Russia
2013-07-17,"Facebook mobile users jumped around 20 pct in US, UK in June"
2013-07-18,"Apple, Google, dozens of others urge U.S. surveillance disclosures"
2013-07-19,"UPDATE 1-Apple, Google, dozens of others urge U.S. surveillance disclosures"
2013-07-23,Facebook blogger goads Zimbabwe's ruling party
2013-07-24,"UPDATE 3-Facebook shares soar as users, mobile ads climb"
2013-07-25,"US STOCKS SNAPSHOT-Facebook's surge lifts Nasdaq, earnings curb Dow and S&P"
2013-07-26,Facebook offers the dummy's guide to mobile advertising
2013-07-30,"US STOCKS-S&P 500, Nasdaq end up as tech gains; potash shares sink"
2013-07-31,US STOCKS-S&P 500 ends flat; Fed gives no word on tapering
2013-08-01,Government requests for Twitter users' data on the rise
2013-08-05,US STOCKS-Wall St slips from record highs; energy stocks hit Dow
2013-08-09,Facebook surfing pays off for some investors
2013-08-12,Facebook plans to buy voice recognition app maker
2013-08-13,"CORRECTED-Facebook reveals daily users for U.S. and UK, data aimed at advertisers"
2013-08-14,UPDATE 2-Soros dumps US Airways as Tiger Consumer likes Facebook
2013-08-15,"Soros dumps US Airways, Tiger Consumer likes Facebook"
2013-08-16,Sandberg's LeanIn.org criticized over call for unpaid intern
2013-08-20,Hacker who exposed Facebook bug to get reward from unexpected source
2013-08-21,UPDATE 2-Facebook-led project seeks Internet access for all
2013-08-22,"INSIGHT-At Apple, Tim Cook leads a quiet cultural revolution"
2013-08-23,UPDATE 3-Rebels smuggling Syria chemical weapons strike evidence to U.N. experts
2013-08-26,REFILE-Nasdaq trading halt exposes communication gaps when crisis hits
2013-08-27,"Facebook says countries sought data on 38,000 users in first half of 2013"
2013-08-28,"In Facebook's first pay vote, tough love from an old friend"
2013-08-29,Facebook considers adding profile photos to facial recognition
2013-09-03,Factbox: Microsoft's patchy deal history
2013-09-05,New Snowden documents say NSA can break common Internet encryption
2013-09-06,"Hungarian dogs draw celebrity interest, but no money"
2013-09-10,UPDATE 1-Internet companies in new effort to disclose more on NSA requests
2013-09-11,Facebook shares break $45 for first time since 2012 IPO
2013-09-12,"Facebook tests auto-play videos, explores video ad potential"
2013-09-13,Twitter takes first step toward going public
2013-09-17,"UPDATE 1-Iran ends brief social media access, calls it glitch"
2013-09-18,Facebook 'like' deserves free speech protection: U.S. court
2013-09-19,France calls for EU to regulate Web giants to counter dominance
2013-09-23,Prominent Cuban dissident economist Oscar Espinosa Chepe dead at 72
2013-09-24,US STOCKS-S&P 500 inches up after string of declines
2013-09-25,"US STOCKS-Wall St ends down for 5th day as budget impasse, Wal-Mart weigh"
2013-09-26,Facebook and Twitter too late for China's Internet
2013-09-27,Facebook and Twitter too late for China's Internet
2013-10-01,Venture-backed IPOs and M&A activity decline in value
2013-10-02,"Cisco, Facebook to work with businesses to expand free Wi-Fi use"
2013-10-03,Facebook helps design housing complex near headquarters
2013-10-04,Mario's Tweets: Twitter celebrity name-dropping reflects novel IPO risk
2013-10-08,US STOCKS-Year's winners lead Wall St lower as default angst rises
2013-10-11,"Google unveils plans for user names, comments to appear in ads"
2013-10-14,UPDATE 1-Onavo buy to boost Facebook's plan to widen Internet access
2013-10-15,Twitter picks NYSE for IPO even as losses widen
2013-10-16,Head of world's Anglicans joins Instagram to push credit unions
2013-10-18,"UPDATE 4-Google shares break $1,000 barrier as mobile pays off"
2013-10-21,Singer Dolly Parton slightly injured in car accident
2013-10-22,Gory videos OK when posted for users to 'condemn': Facebook
2013-10-23,"Facebook removes beheading video, updates violent images standards"
2013-10-24,Student group gets nod for Irish Prism challenge
2013-10-25,UPDATE 2-Nasdaq says FINRA caps Facebook IPO claims at $41.6 mln
2013-10-27,"Wall Street Week Ahead: Focus on Facebook, Apple and the Fed"
2013-10-29,U.S. lawmakers call for action to curb Internet child trading
2013-10-30,Facebook smashes analyst targets but executive comments spook Street
2013-10-31,"US STOCKS-Wall St set to open flat, near record levels"
2013-11-01,Analysis - Facebook's ad warning sounds a note of caution for Twitter
2013-11-02,"California coaches, teacher suspended for donning blackface at costume party"
2013-11-03,RPT-Wall St Week Ahead-Twitter's IPO to provide week's excitement
2013-11-04,UPDATE 6-Twitter boosts IPO range amid strong investor demand
2013-11-07,UPDATE 4-Twitter prices above range to raise at least $1.8 billion
2013-11-08,UPDATE 8-Twitter shares soar in frenzied NYSE debut
2013-11-11,Facebook director Andreessen's firm sells a third of its shares
2013-11-12,STOCK NEWS US-Bearish action is seen in Facebook options
2013-11-13,Snapchat rejected $3 bln buyout offer from Facebook -report
2013-11-14,"UPDATE 1-Sotheby's, BofA, J.C. Penney attract hedge fund buyers"
2013-11-15,"UPDATE 3-Sotheby's, BofA, J.C. Penney attract hedge fund buyers"
2013-11-18,"US STOCKS-Wall St sells off in late session; Dow below 16,000"
2013-11-21,"RESEARCH ALERT-Facebook, Monster Worldwide: FBR starts with outperform - Theflyonthewall.com"
2013-11-25,"RPT-US STOCKS-Wall St flat after Nasdaq tops 4,000; Wal-Mart at record"
2013-11-26,"RPT-INSIGHT-At Web startups, glossy numbers often mean little"
2013-12-02,Twitter stock gets mixed reviews from IPO underwriters
2013-12-03,"Facebook phases in ""Unfollow"" button"
2013-12-04,Brazil delays vote on anti-spying Internet bill -lawmaker
2013-12-09,UPDATE 1-U.S. tech companies call for more controls on surveillance
2013-12-10,U.S. tech companies call for more controls on surveillance
2013-12-11,Facebook to join S&P 500
2013-12-12,US STOCKS-Wall St drops on taper anxiety; Facebook rallies
2013-12-16,Oregon politician gets six years for Facebook IPO fraud
2013-12-17,"Facebook to test video ads, opening new revenue source"
2013-12-18,"Facebook, Zuckerberg, banks must face lawsuit over IPO"
2013-12-19,"US STOCKS-Dow, S&P trade flat; indexes near record highs"
2013-12-23,"US STOCKS-Dow, S&P end at record highs as Apple deal lifts techs"
2013-12-27,Nasdaq to compensate firms on Dec. 31 for botched Facebook IPO
2013-12-29,'Good Morning America' host Robin Roberts reveals same-sex relationship
2013-12-31,Netflix hikes CEO salary by 50 percent for 2014
2014-01-07,Analysis: Social media empowers anti-mining activists
2014-01-08,Facebook to buy Android app monitoring tool maker
2014-01-14,U.S. appeals court strikes down FCC net neutrality rules
2014-01-15,Woman rescued from Nevada motel after six months as captive: police
2014-01-17,"Facebook 'relationships guy' courts Hollywood, media in new push"
2014-01-22,Facebook tests ad network business on other companies' mobile apps
2014-01-24,Sony Pictures buys film rights to Sheryl Sandberg's 'Lean In'
2014-01-28,UPDATE 1-Facebook cites progress on low-power server technology
2014-01-29,BRIEF-Facebook CFO says expects GAAP expenses in 2014 to increase between 35 percent and 40 percent
2014-01-30,RPT-US STOCKS-Wall St rallies on Facebook and GDP; Amazon sinks late
2014-01-31,"Twitter buys patents, seals licensing pact with IBM"
2014-02-03,Web companies give first look at secret U.S. government data requests
2014-02-04,Web companies give first look at secret government data requests
2014-02-10,Facebook's Zuckerberg tops 2013 list of top U.S. philanthropists
2014-02-12,"Scrotum, Hitler, Facebook: Mexican state bans outlandish baby names"
2014-02-13,Nvidia puts plans for new Silicon Valley campus on hold
2014-02-14,"eBay, Facebook and General Motors attract hedge fund buyers"
2014-02-15,"Hedge funds buy GM in fourth-quarter; Soros takes stakes in JP Morgan, Citi"
2014-02-18,Upsetting the app cart: Asian messaging services challenge mobile order
2014-02-19,US STOCKS-Wall St falls after Fed minutes; Facebook down late
2014-02-20,US STOCKS-Wall St rises on factory data; Tesla and Facebook jump
2014-02-21,"RPT-With WhatsApp deal, Sequoia Capital burnishes reputation"
2014-02-22,"UPDATE 1-Facebook's big buy, WhatsApp messaging app, back up after outage"
2014-02-24,What's up for Alibaba's mobile app strategy?
2014-02-25,UPDATE 2-Japan's Line denies report of talks to sell stake to SoftBank
2014-02-26,UPDATE 1-Facebook says makes progress targeting users
2014-02-28,"RPT-Fitch: Facebook, Skype Challenge Telcos' Free Cash Flows"
2014-03-04,UPDATE 1-Facebook in talks to acquire drone company for $60 mln - reports
2014-03-05,UPDATE 1-News reader company Flipboard buys rival Zite from CNN
2014-03-06,MYANMAR PRESS-Over 1.4 mln use Facebook in Myanmar - Voice Daily
2014-03-07,Man who sued Facebook's Zuckerberg must face fraud charges: judge
2014-03-09,Korea's quirky messaging apps go on offensive in text-happy Indonesia
2014-03-13,Facebook CEO Zuckerberg phoned Obama to complain about spying
2014-03-15,Alibaba Group seeking US listing in Q3 - sources
2014-03-16,UPDATE 2-Alibaba picks US for IPO; in talks with six banks for lead roles
2014-03-17,Alibaba picks U.S. for IPO; in talks with six banks for lead roles
2014-03-18,Alibaba to hold US IPO kick off meeting on March 25 - sources
2014-03-19,"UPDATE 1-Alibaba's choice of U.S. IPO spurred by rivals, Hong Kong impasse -sources"
2014-03-20,Alibaba invests $280 million in messaging app Tango
2014-03-21,"UPDATE 1-Obama to meet with U.S. tech executives on privacy, surveillance"
2014-03-22,"CORRECTED-UPDATE 2-Obama meets with U.S. tech executives on privacy, surveillance"
2014-03-24,How Facebook avoided costly suits over hiring from rivals
2014-03-25,Facebook to buy virtual reality goggles maker for $2 billion
2014-03-26,REFILE-US STOCKS-Russia sanctions worry hits Wall St; techs weigh
2014-03-27,"UPDATE 1-Facebook to use satellites, drones to spread the Internet"
2014-03-31,UPDATE 1-Cisco rival Arista Networks files for IPO
2014-04-02,"Apple, Facebook, Google Internet data centers getting greener, report finds"
2014-04-03,Head of Russian social network VK withdraws resignation
2014-04-04,REFILE-Internet companies' growing ambitions spook 51 pct of Americans
2014-04-05,Wall St Week Ahead-Momentum names may see more pain
2014-04-07,Lawsuits deepen shareholder row over 'Russia's Facebook'
2014-04-08,"U.S. stock market may have stumbled, but signals still say 'go'"
2014-04-09,Facebook to require separate mobile app for messages
2014-04-14,UPDATE 1-Facebook plans to provide mobile payment services -FT
2014-04-16,Teenager uses Facebook to save Romania's stray dogs
2014-04-17,Wall Street Week Ahead: Spring fever brings hope for U.S. earnings
2014-04-21,EXCLUSIVE-Fidelity's Danoff looks beyond tech stocks as performance lags
2014-04-22,"US STOCKS-Wall St up for sixth straight session on earnings, healthcare"
2014-04-23,GLOBAL MARKETS-Tech sector brightens as Apple jumps 8 pct
2014-04-24,"GLOBAL MARKETS-Equity indexes up on Apple, Ukraine tempers rise"
2014-04-28,"CORRECTED-US STOCKS-Nasdaq falls, led by Facebook and Amazon; Dow up"
2014-04-29,Ex-Rothschild banker Yao faces tough Alibaba IPO test
2014-04-30,A Minute With: Thomas Middleditch on nerding out in life and on TV
2014-05-01,A Minute With: Thomas Middleditch on nerding out in life and on TV
2014-05-02,"Twitter stock slumps 50 percent as Goldman, Deutsche Bank still say `buy'"
2014-05-06,CORRECTED-UPDATE 1-Do-it-yourselfers inspire hardware renaissance in Silicon Valley
2014-05-07,Factbox: Alibaba's U.S. IPO set to top list of biggest tech deals
2014-05-08,"CORRECTED-Wiretap claims fail against Facebook, Zynga in disclosure lawsuit"
2014-05-09,REFILE-UPDATE 2-Apple close to buying Beats for $3.2 bln -source
2014-05-12,Facebook to open sales office in China -Bloomberg
2014-05-13,Facebook to open sales office in China -Bloomberg
2014-05-18,Facebook developing video-chat app to rival Snapchat -FT
2014-05-19,France's Publicis wins $500 mln deal with Facebook - Ad Age
2014-05-21,ZeniMax sues virtual reality startup Oculus headset technology
2014-05-22,"INSIGHT-As tech millionaires multiply, wealth advisers struggle to connect"
2014-05-27,RPT-Iranian judge summons Facebook CEO for breach of privacy
2014-05-28,UPDATE 1-Provincial attorney general denies reported Facebook CEO summoning - agency
2014-05-29,"Thai military seeks Facebook, Google cooperation with censorship"
2014-05-30,Facebook's Zuckerberg pledges $120 million to Bay Area schools
2014-06-03,Facebook acquires mobile data plan firm Pryte
2014-06-04,"China state media calls for 'severe punishment' for Google, Apple, U.S. tech firms"
2014-06-05,UPDATE 1-WhatsApp co-founder sees challenges in U.S. and other markets
2014-06-06,Blackstone seeded hedge fund Sureview Capital shuts down - sources
2014-06-09,"Zuckerberg, other Facebook directors are sued over pay plan"
2014-06-11,Alabama woman charged for asking fake Facebook friend to kill family
2014-06-16,"UPDATE 4-Alibaba discloses powerful partners, reveals slowing growth"
2014-06-17,"CORRECTED-UPDATE 4-Alibaba discloses powerful partners, reveals slowing growth"
2014-06-18,Data sharing deal with U.S. referred to EU's top court
2014-06-19,VKontakte investors clash over CEO candidates
2014-06-21,"Zimbabwe editor charged with attempted terrorism, insurgency"
2014-06-25,Oculus denies claims by ZeniMax in virtual reality tech lawsuit
2014-06-27,Sri Lankan hardline Buddhists say Facebook accounts blocked after violence
2014-06-29,"Apple, Facebook, Google cheer on San Francisco Gay Pride parade"
2014-06-30,BUSINESS-NEWS-SCHEDULE AT 1230 GMT / 8.30 AM ET
2014-07-01,NYSE to run software tests for trading firms ahead of Alibaba IPO
2014-07-02,Facebook removes hunting photos of Texas teen that raised ire
2014-07-07,"INSIGHT-As millions vape, e-cigarette researchers count puffs, scour Facebook"
2014-07-09,"CORRECTED-INSIGHT-As millions vape, e-cigarette researchers count puffs, scour Facebook"
2014-07-10,Access to Google services within China returns
2014-07-11,"After short revival, Google service disruptions in China return"
2014-07-14,World Cup was biggest social media event ever: Facebook
2014-07-15,UPDATE 1-Japanese messaging app Line files for IPO valued over $10 bln -source
2014-07-17,Facebook tests new 'buy' button for online purchases in U.S.
2014-07-21,UPDATE 1-Yahoo to buy analytics startup Flurry to bolster mobile ad business
2014-07-22,Facebook's Zuckerberg to testify at N.Y. forgery trial -prosecutors
2014-07-23,"UPDATE 3-Facebook beats Wall Street targets, stock hits record high"
2014-07-24,"Facebook goes express to mega-cap status - now valued more than AT&T, Coke"
2014-07-28,UPDATE 1-OkCupid admits to Facebook-style experimenting on customers
2014-07-29,A mixed quarter for bets on U.S. stock volatility
2014-07-30,UPDATE 2-Twitter's surge revives valuation debate
2014-07-31,"Facebook mobile app to offer free, limited Internet in Zambia"
2014-08-01,"Google, Facebook pay for shuttles to use San Francisco bus stops"
2014-08-05,Thousands join Austrian student's class action against Facebook
2014-08-06,"Austrian data activist's suit against Facebook gets 25,000 plaintiffs"
2014-08-07,INDIA PRESS-Facebook joins GSM lobby group COAI-Times of India
2014-08-14,"HIGHLIGHTS-Top U.S. hedge funds up Dollar General, Walgreen stakes"
2014-08-15,Facebook vice president of product management resigns
2014-08-27,"South Korea's Daum, Kakao shareholders approve merger"
2014-09-02,EU mergers and takeovers (Sept 2)
2014-09-03,UPDATE 1-Facebook goes down for some U.S. users
2014-09-04,Silicon Valley builds up in Microsoft's backyard
2014-09-06,Alibaba IPO legal fees dwarf Facebook's
2014-09-08,"UPDATE 1-Twitter testing ""buy"" button on tweets"
2014-09-11,UPDATE 1-Alliance Data to buy Conversant for $2.3 bln
2014-09-12,South Carolina congressman Mark Sanford calls off engagement
2014-09-15,Fraud trial of NY man who claimed Facebook stake delayed to May
